582,269,10
584,269.0,10.1
784,269.0,10.3
984,269.0,10.6
1184,269.0,11.0
1384,269.0,11.5
1584,269.0,12.1
1784,269.0,12.8
1984,269.0,13.6
2184,269.0,14.5
2384,269.0,15.5
2584,269.2,16.6
2784,269.8,17.8
2984,270.6,19.1
3184,271.4,20.5
3384,272.2,22.0
3584,272.8,23.6
3784,273.2,25.3
3984,273.2,27.1
4184,272.8,29.0
4384,272.0,31.0
4584,270.8,33.1
4785,269.2,35.3
4986,267.6,37.6
5186,266.0,40.0
5386,264.4,42.5
5586,262.8,45.1
5786,261.2,47.8
5986,259.6,50.6
6186,258.0,53.5
6386,256.4,56.5
6586,254.8,59.6
6786,253.2,62.8
6986,251.6,66.1
7186,250.0,69.5
7386,248.4,73.0
7586,246.8,76.6
7786,245.2,80.3
7986,243.6,84.1
8186,242.0,87.8
8386,240.4,91.4
8586,238.8,94.7
8786,237.2,97.7
8986,235.6,100.8
9186,234.0,104.0
9386,232.4,107.3
9586,230.8,110.7
9786,229.2,114.2
9986,227.6,117.8
10186,226.0,121.5
10386,224.4,125.3
10586,222.8,129.2
10786,221.2,133.2
10986,219.6,137.3
11186,218.0,141.5
11386,216.4,145.8
11586,214.8,150.2
11786,213.2,154.7
11986,211.6,159.3
12186,210.0,164.0
12386,208.4,168.6
12586,206.8,173.1
12786,205.2,177.3
12986,203.6,181.2
13187,202.0,184.8
13387,200.2,188.1
13588,198.2,191.5
13788,196.2,195.0
13989,194.0,198.6
14189,191.4,202.3
14390,188.4,206.1
14589,185.6,210.0
14789,183.0,214.0
14989,180.8,218.1
15189,179.0,222.3
15389,177.6,226.6
15589,176.6,231.0
15789,175.6,235.5
15990,175.6,235.5
16190,175.6,235.5
16390,175.6,235.5
16590,175.6,235.5
16790,175.6,235.5
16990,175.6,235.5
17190,175.6,235.5
17390,175.6,235.5
17590,175.6,235.5
17790,175.6,235.5
17991,175.6,235.5
18191,175.6,235.5
18391,175.6,235.5
18591,175.6,235.5
18791,175.6,235.5
18991,175.6,235.5
19191,175.6,235.5
19391,175.6,235.5
19592,175.6,235.5
