Going to be training for a total of 50000 episodes
Episode: 9500, reward: 45.19864018443684, steps: 156
---------- testing now ----------
Mean reward achieved : 62.37780553332401 
--------------------------------------------------
Episode: 9600, reward: 78.12469598316531, steps: 144
Episode: 9700, reward: 121.14005208958777, steps: 1000
Episode: 9800, reward: -38.9993218502227, steps: 312
Episode: 9900, reward: 92.81496727754522, steps: 1000
Episode: 10000, reward: 91.89606669068017, steps: 1000
---------- testing now ----------
Mean reward achieved : 86.98557689463672 
--------------------------------------------------
Episode: 10100, reward: 106.12634051964828, steps: 1000
Episode: 10200, reward: 48.25904837066048, steps: 127
Episode: 10300, reward: 110.45374494673919, steps: 1000
Episode: 10400, reward: -19.915534247324373, steps: 84
Episode: 10500, reward: 4.333823244829196, steps: 1000
---------- testing now ----------
Mean reward achieved : 41.34624721046849 
--------------------------------------------------
Episode: 10600, reward: 59.35985817003562, steps: 1000
Episode: 10700, reward: 111.89588822424037, steps: 1000
Episode: 10800, reward: -248.6517138820066, steps: 998
Episode: 10900, reward: 112.94773268430613, steps: 1000
Episode: 11000, reward: 124.47632198110546, steps: 1000
---------- testing now ----------
Mean reward achieved : 103.4314821688155 
--------------------------------------------------
Episode: 11100, reward: 75.72004446199533, steps: 1000
Episode: 11200, reward: 160.36992537628123, steps: 1000
Episode: 11300, reward: 27.499128144866262, steps: 113
Episode: 11400, reward: 116.86453125451611, steps: 1000
Episode: 11500, reward: 100.62929057190748, steps: 1000
---------- testing now ----------
Mean reward achieved : 95.28796749032009 
--------------------------------------------------
Episode: 11600, reward: 100.50899073979257, steps: 1000
Episode: 11700, reward: 86.71557480589954, steps: 1000
Episode: 11800, reward: 92.97849726781425, steps: 1000
Episode: 11900, reward: 147.67195514231173, steps: 1000
Episode: 12000, reward: 152.97970559126438, steps: 1000
---------- testing now ----------
Mean reward achieved : 82.67419959802187 
--------------------------------------------------
Episode: 12100, reward: 155.78212982842075, steps: 1000
Episode: 12200, reward: 135.80705964284783, steps: 1000
Episode: 12300, reward: 168.55324146828036, steps: 1000
Episode: 12400, reward: 140.72980981945565, steps: 1000
Episode: 12500, reward: 79.15346917130108, steps: 1000
---------- testing now ----------
Mean reward achieved : 47.73279743466169 
--------------------------------------------------
Episode: 12600, reward: 108.15347634681308, steps: 1000
Episode: 12700, reward: 139.01345289622077, steps: 1000
Episode: 12800, reward: -150.38142730573966, steps: 307
Episode: 12900, reward: 126.5945941232051, steps: 1000
